"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Posts REST API","API DELETE posts with valid parameter","FAILURE","2023-01-20T18:10:22.512+07:00[Asia/Bangkok]","0.0","2.21"
"Testing Delete Posts REST API","API DELETE posts with invalid parameter","FAILURE","2023-01-20T18:10:24.726+07:00[Asia/Bangkok]","0.0","2.09"
"Testing Get Posts REST API","API GET with invalid parameter id","FAILURE","2023-01-20T18:10:31.624+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Post Posts REST API","API POST new posts with blank parameter","FAILURE","2023-01-20T18:10:33.788+07:00[Asia/Bangkok]","0.0","1.05"
"Testing Post Posts REST API","API POST with invalid type data body","FAILURE","2023-01-20T18:10:34.858+07:00[Asia/Bangkok]","0.0","1.06"
"Testing Post Posts REST API","API POST new posts with extra parameter","FAILURE","2023-01-20T18:10:35.922+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Post Posts REST API","API POST with less category body","FAILURE","2023-01-20T18:10:36.998+07:00[Asia/Bangkok]","0.0","0.81"
"Testing Put Posts REST API","API PUT with blank body","FAILURE","2023-01-20T18:10:38.887+07:00[Asia/Bangkok]","0.0","1.08"
"Testing Put Posts REST API","API PUT with invalid type data body","FAILURE","2023-01-20T18:10:39.976+07:00[Asia/Bangkok]","0.0","0.93"
"Testing Put Posts REST API","API PUT with extra body","FAILURE","2023-01-20T18:10:40.91+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Put Posts REST API","API PUT with less category body","FAILURE","2023-01-20T18:10:41.988+07:00[Asia/Bangkok]","0.0","1.07"
