"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Posts REST API","API DELETE posts with valid parameter","FAILURE","2023-01-20T16:15:48.407712+07:00[Asia/Jakarta]","0.0","6.64"
"Testing Delete Posts REST API","API DELETE posts with invalid parameter","FAILURE","2023-01-20T16:15:55.098517+07:00[Asia/Jakarta]","0.0","1.81"
"Testing Get Posts REST API","API GET without id","FAILURE","2023-01-20T16:15:56.939015+07:00[Asia/Jakarta]","0.0","1.78"
"Testing Get Posts REST API","API GET with valid id","SUCCESS","2023-01-20T16:15:58.755738+07:00[Asia/Jakarta]","0.0","0.75"
"Testing Get Posts REST API","API GET with invalid id","SUCCESS","2023-01-20T16:15:59.515008+07:00[Asia/Jakarta]","0.0","2.03"
"Testing Get Posts REST API","API GET with invalid parameter id","FAILURE","2023-01-20T16:16:01.561754+07:00[Asia/Jakarta]","0.0","0.92"
"Testing Post Posts REST API","API POST new posts with valid parameter","SUCCESS","2023-01-20T16:16:02.49569+07:00[Asia/Jakarta]","0.0","2.31"
"Testing Post Posts REST API","API POST new posts with blank parameter","FAILURE","2023-01-20T16:16:04.813377+07:00[Asia/Jakarta]","0.0","1.08"
"Testing Post Posts REST API","API POST with invalid type data body","FAILURE","2023-01-20T16:16:05.903997+07:00[Asia/Jakarta]","0.0","1.26"
"Testing Post Posts REST API","API POST new posts with extra parameter","FAILURE","2023-01-20T16:16:07.170483+07:00[Asia/Jakarta]","0.0","0.85"
"Testing Post Posts REST API","API POST with less category body","FAILURE","2023-01-20T16:16:08.038069+07:00[Asia/Jakarta]","0.0","0.72"
"Testing Put Posts REST API","API PUT with valid parameter","SUCCESS","2023-01-20T16:16:08.767972+07:00[Asia/Jakarta]","0.0","0.85"
"Testing Put Posts REST API","API PUT with blank body","FAILURE","2023-01-20T16:16:09.641569+07:00[Asia/Jakarta]","0.0","2.89"
"Testing Put Posts REST API","API PUT with invalid type data body","FAILURE","2023-01-20T16:16:12.538289+07:00[Asia/Jakarta]","0.0","0.8"
"Testing Put Posts REST API","API PUT with extra body","FAILURE","2023-01-20T16:16:13.354179+07:00[Asia/Jakarta]","0.0","0.82"
"Testing Put Posts REST API","API PUT with less category body","FAILURE","2023-01-20T16:16:14.183365+07:00[Asia/Jakarta]","0.0","0.84"
