"Story","Title","Result","Date","Stability","Duration (s)"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with unregistered parameter id","FAILURE","2023-01-20T18:09:58.963+07:00[Asia/Bangkok]","0.0","2.09"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with invalid parameter id","FAILURE","2023-01-20T18:10:01.054+07:00[Asia/Bangkok]","0.0","2.18"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter id","FAILURE","2023-01-20T18:10:04.709+07:00[Asia/Bangkok]","0.0","1.92"
"Testing GET comments JsonPlaceHolder","GET comments with unregistered parameter id","FAILURE","2023-01-20T18:10:06.637+07:00[Asia/Bangkok]","0.0","2.15"
"Testing POST comments JsonPlaceHolder","POST comments with invalid json","FAILURE","2023-01-20T18:10:12.882+07:00[Asia/Bangkok]","0.0","1.05"
"Testing POST comments JsonPlaceHolder","POST comments with unrequired object at json","FAILURE","2023-01-20T18:10:13.94+07:00[Asia/Bangkok]","0.0","1.06"
"Testing POST comments JsonPlaceHolder","POST comments with valid parameter id","FAILURE","2023-01-20T18:10:15.008+07:00[Asia/Bangkok]","0.0","1.16"
"Testing POST comments JsonPlaceHolder","POST comments with blank json","FAILURE","2023-01-20T18:10:16.171+07:00[Asia/Bangkok]","0.0","0.88"
"Testing PUT comments JsonPlaceHolder","PUT comments with invalid json","FAILURE","2023-01-20T18:10:18.245+07:00[Asia/Bangkok]","0.0","1.09"
"Testing PUT comments JsonPlaceHolder","Put comments with unrequired object at json","FAILURE","2023-01-20T18:10:19.344+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT comments JsonPlaceHolder","Put comments with invalid parameter id","FAILURE","2023-01-20T18:10:20.417+07:00[Asia/Bangkok]","0.0","1.06"
"Testing PUT comments JsonPlaceHolder","Put comments with blank json","FAILURE","2023-01-20T18:10:21.484+07:00[Asia/Bangkok]","0.0","1.02"
