"Story","Title","Result","Date","Stability","Duration (s)"
"Delete album","Delete users with valid id","SUCCESS","2023-01-20T18:09:37.823+07:00[Asia/Bangkok]","0.0","3.79"
"Testing GET","Get album with valid parameter","SUCCESS","2023-01-20T18:09:42.84+07:00[Asia/Bangkok]","0.0","1.57"
"Testing Create Album","Post create album with valid json","SUCCESS","2023-01-20T18:09:45.531+07:00[Asia/Bangkok]","0.0","1.14"
"Put update albums","Put update album with valid parameter","SUCCESS","2023-01-20T18:09:50.794+07:00[Asia/Bangkok]","0.0","1.57"
"Put update albums","Put update album with unregister body json","SUCCESS","2023-01-20T18:09:55.605+07:00[Asia/Bangkok]","0.0","1.35"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:09:56.956+07:00[Asia/Bangkok]","0.0","2.0"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","SUCCESS","2023-01-20T18:10:03.245+07:00[Asia/Bangkok]","0.0","1.46"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter","SUCCESS","2023-01-20T18:10:09.708+07:00[Asia/Bangkok]","0.0","2.07"
"Testing POST comments JsonPlaceHolder","POST comments with valid json","SUCCESS","2023-01-20T18:10:11.78+07:00[Asia/Bangkok]","0.0","1.1"
"Testing PUT comments JsonPlaceHolder","PUT comments with valid json","SUCCESS","2023-01-20T18:10:17.054+07:00[Asia/Bangkok]","0.0","1.18"
"Testing Get Posts REST API","API GET without id","SUCCESS","2023-01-20T18:10:26.821+07:00[Asia/Bangkok]","0.0","1.05"
"Testing Get Posts REST API","API GET with valid id","SUCCESS","2023-01-20T18:10:27.881+07:00[Asia/Bangkok]","0.0","1.61"
"Testing Get Posts REST API","API GET with invalid id","SUCCESS","2023-01-20T18:10:29.495+07:00[Asia/Bangkok]","0.0","2.13"
"Testing Post Posts REST API","API POST new posts with valid parameter","SUCCESS","2023-01-20T18:10:32.724+07:00[Asia/Bangkok]","0.0","1.06"
"Testing Put Posts REST API","API PUT with valid parameter","SUCCESS","2023-01-20T18:10:37.81+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id should success then return 200 response code","SUCCESS","2023-01-20T18:10:43.061+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-20T18:10:46.09+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","SUCCESS","2023-01-20T18:10:47.191+07:00[Asia/Bangkok]","0.0","0.88"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id out of range should failed then return 404 response code","SUCCESS","2023-01-20T18:10:48.079+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET todos JsonPlaceHolder API","GET todos without id should success then return 200 response code","SUCCESS","2023-01-20T18:10:50.027+07:00[Asia/Bangkok]","0.0","1.74"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-20T18:10:51.772+07:00[Asia/Bangkok]","0.0","0.87"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid id as string should failed then return 404 response code","SUCCESS","2023-01-20T18:10:52.647+07:00[Asia/Bangkok]","0.0","1.11"
"Testing POST Todos JsonPlaceHolder API","POST todos with valid input body should succes then return 201 response code","SUCCESS","2023-01-20T18:10:53.762+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-20T18:10:59.184+07:00[Asia/Bangkok]","0.0","0.85"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T18:11:05.262+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T18:11:06.383+07:00[Asia/Bangkok]","0.0","1.08"
