"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id should success then return 200 response code","SUCCESS","2023-01-20T18:10:43.061+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id but out of range should failed then return 404 response code","FAILURE","2023-01-20T18:10:44.162+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Delete Todos JsonPlaceHolder API","DELETE todos with invalid id should failed then return 400 response code","FAILURE","2023-01-20T18:10:45.233+07:00[Asia/Bangkok]","0.0","0.85"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-20T18:10:46.09+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","SUCCESS","2023-01-20T18:10:47.191+07:00[Asia/Bangkok]","0.0","0.88"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id out of range should failed then return 404 response code","SUCCESS","2023-01-20T18:10:48.079+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid parameter id as string should failed then return 400 response code","FAILURE","2023-01-20T18:10:49.131+07:00[Asia/Bangkok]","0.0","0.89"
"Testing GET todos JsonPlaceHolder API","GET todos without id should success then return 200 response code","SUCCESS","2023-01-20T18:10:50.027+07:00[Asia/Bangkok]","0.0","1.74"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-20T18:10:51.772+07:00[Asia/Bangkok]","0.0","0.87"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid id as string should failed then return 404 response code","SUCCESS","2023-01-20T18:10:52.647+07:00[Asia/Bangkok]","0.0","1.11"
"Testing POST Todos JsonPlaceHolder API","POST todos with valid input body should succes then return 201 response code","SUCCESS","2023-01-20T18:10:53.762+07:00[Asia/Bangkok]","0.0","1.07"
"Testing POST Todos JsonPlaceHolder API","POST Todos with blank parameter should failed then return 400 response code","FAILURE","2023-01-20T18:10:54.848+07:00[Asia/Bangkok]","0.0","1.1"
"Testing POST Todos JsonPlaceHolder API","POST Todos with extra body category should failed then return 400 response code","FAILURE","2023-01-20T18:10:55.958+07:00[Asia/Bangkok]","0.0","1.11"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T18:10:57.075+07:00[Asia/Bangkok]","0.0","1.07"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T18:10:58.152+07:00[Asia/Bangkok]","0.0","1.03"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-20T18:10:59.184+07:00[Asia/Bangkok]","0.0","0.85"
"Testing PUT Todos JsonPlaceHolder API","Put update user with difference userID and id should failed then return 400 response code","FAILURE","2023-01-20T18:11:00.043+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with blank body should failed then return 400 response code","FAILURE","2023-01-20T18:11:01.119+07:00[Asia/Bangkok]","0.0","1.05"
"Testing PUT Todos JsonPlaceHolder API","Put update user with extra body category should failed then return 400 response code","FAILURE","2023-01-20T18:11:02.188+07:00[Asia/Bangkok]","0.0","1.11"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T18:11:03.302+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T18:11:04.378+07:00[Asia/Bangkok]","0.0","0.88"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T18:11:05.262+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T18:11:06.383+07:00[Asia/Bangkok]","0.0","1.08"
