"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id should success then return 200 response code","SUCCESS","2023-01-20T00:04:35.835+07:00[Asia/Bangkok]","0.0","3.92"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id but out of range should failed then return 404 response code","FAILURE","2023-01-20T00:04:39.773+07:00[Asia/Bangkok]","0.0","0.77"
"Testing Delete Todos JsonPlaceHolder API","DELETE todos with invalid id should failed then return 400 response code","FAILURE","2023-01-20T00:04:40.556+07:00[Asia/Bangkok]","0.0","0.75"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-20T00:04:41.312+07:00[Asia/Bangkok]","0.0","1.15"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","FAILURE","2023-01-20T00:04:42.47+07:00[Asia/Bangkok]","0.0","1.38"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id out of range should failed then return 404 response code","SUCCESS","2023-01-20T00:04:43.862+07:00[Asia/Bangkok]","0.0","0.68"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid parameter id as string should failed then return 400 response code","FAILURE","2023-01-20T00:04:44.549+07:00[Asia/Bangkok]","0.0","0.68"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-20T00:04:45.236+07:00[Asia/Bangkok]","0.0","0.68"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid id as string should failed then return 404 response code","SUCCESS","2023-01-20T00:04:45.918+07:00[Asia/Bangkok]","0.0","0.77"
"Testing POST Todos JsonPlaceHolder API","POST todos with valid input body should succes then return 201 response code","SUCCESS","2023-01-20T00:04:46.694+07:00[Asia/Bangkok]","0.0","0.81"
"Testing POST Todos JsonPlaceHolder API","POST Todos with blank parameter should failed then return 400 response code","FAILURE","2023-01-20T00:04:47.51+07:00[Asia/Bangkok]","0.0","0.77"
"Testing POST Todos JsonPlaceHolder API","POST Todos with extra body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:48.281+07:00[Asia/Bangkok]","0.0","0.7"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T00:04:48.985+07:00[Asia/Bangkok]","0.0","0.69"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:49.685+07:00[Asia/Bangkok]","0.0","0.68"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-20T00:04:50.37+07:00[Asia/Bangkok]","0.0","0.82"
"Testing PUT Todos JsonPlaceHolder API","Put update user with difference userID and id should failed then return 400 response code","FAILURE","2023-01-20T00:04:51.192+07:00[Asia/Bangkok]","0.0","0.79"
"Testing PUT Todos JsonPlaceHolder API","Put update user with blank body should failed then return 400 response code","FAILURE","2023-01-20T00:04:51.99+07:00[Asia/Bangkok]","0.0","0.68"
"Testing PUT Todos JsonPlaceHolder API","Put update user with extra body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:52.679+07:00[Asia/Bangkok]","0.0","0.71"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T00:04:53.394+07:00[Asia/Bangkok]","0.0","0.7"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:54.099+07:00[Asia/Bangkok]","0.0","0.71"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T00:04:54.81+07:00[Asia/Bangkok]","0.0","1.96"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T00:04:56.778+07:00[Asia/Bangkok]","0.0","0.68"
