"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id but out of range should failed then return 404 response code","FAILURE","2023-01-19T14:01:30.699+07:00[Asia/Bangkok]","0.0","0.83"
"Testing Delete Todos JsonPlaceHolder API","DELETE todos with invalid id should failed then return 400 response code","FAILURE","2023-01-19T14:01:31.54+07:00[Asia/Bangkok]","0.0","0.75"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","FAILURE","2023-01-19T14:01:33.538+07:00[Asia/Bangkok]","0.0","1.33"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid parameter id as string should failed then return 400 response code","FAILURE","2023-01-19T14:01:35.6+07:00[Asia/Bangkok]","0.0","0.75"
"Testing GET todos JsonPlaceHolder API","GET todos without id should success then return 200 response code","ERROR","2023-01-19T14:01:36.356+07:00[Asia/Bangkok]","0.0","0.05"
"Testing POST Todos JsonPlaceHolder API","POST Todos with blank parameter should failed then return 400 response code","FAILURE","2023-01-19T14:01:37.52+07:00[Asia/Bangkok]","0.0","0.7"
"Testing POST Todos JsonPlaceHolder API","POST Todos with extra body category should failed then return 400 response code","FAILURE","2023-01-19T14:01:38.229+07:00[Asia/Bangkok]","0.0","0.72"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body data type should failed then return 400 response code","FAILURE","2023-01-19T14:01:38.952+07:00[Asia/Bangkok]","0.0","0.79"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body category should failed then return 400 response code","FAILURE","2023-01-19T14:01:39.753+07:00[Asia/Bangkok]","0.0","0.73"
"Testing PUT Todos JsonPlaceHolder API","Put update user with difference userID and id should failed then return 400 response code","FAILURE","2023-01-19T14:01:41.17+07:00[Asia/Bangkok]","0.0","0.8"
"Testing PUT Todos JsonPlaceHolder API","Put update user with blank body should failed then return 400 response code","FAILURE","2023-01-19T14:01:41.97+07:00[Asia/Bangkok]","0.0","1.71"
"Testing PUT Todos JsonPlaceHolder API","Put update user with extra body category should failed then return 400 response code","FAILURE","2023-01-19T14:01:43.685+07:00[Asia/Bangkok]","0.0","0.7"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body data type should failed then return 400 response code","FAILURE","2023-01-19T14:01:44.386+07:00[Asia/Bangkok]","0.0","0.7"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body category should failed then return 400 response code","FAILURE","2023-01-19T14:01:45.092+07:00[Asia/Bangkok]","0.0","0.72"
