"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id but out of range should failed then return 404 response code","FAILURE","2023-01-20T00:04:39.773+07:00[Asia/Bangkok]","0.0","0.77"
"Testing Delete Todos JsonPlaceHolder API","DELETE todos with invalid id should failed then return 400 response code","FAILURE","2023-01-20T00:04:40.556+07:00[Asia/Bangkok]","0.0","0.75"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","FAILURE","2023-01-20T00:04:42.47+07:00[Asia/Bangkok]","0.0","1.38"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid parameter id as string should failed then return 400 response code","FAILURE","2023-01-20T00:04:44.549+07:00[Asia/Bangkok]","0.0","0.68"
"Testing POST Todos JsonPlaceHolder API","POST Todos with blank parameter should failed then return 400 response code","FAILURE","2023-01-20T00:04:47.51+07:00[Asia/Bangkok]","0.0","0.77"
"Testing POST Todos JsonPlaceHolder API","POST Todos with extra body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:48.281+07:00[Asia/Bangkok]","0.0","0.7"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T00:04:48.985+07:00[Asia/Bangkok]","0.0","0.69"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:49.685+07:00[Asia/Bangkok]","0.0","0.68"
"Testing PUT Todos JsonPlaceHolder API","Put update user with difference userID and id should failed then return 400 response code","FAILURE","2023-01-20T00:04:51.192+07:00[Asia/Bangkok]","0.0","0.79"
"Testing PUT Todos JsonPlaceHolder API","Put update user with blank body should failed then return 400 response code","FAILURE","2023-01-20T00:04:51.99+07:00[Asia/Bangkok]","0.0","0.68"
"Testing PUT Todos JsonPlaceHolder API","Put update user with extra body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:52.679+07:00[Asia/Bangkok]","0.0","0.71"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T00:04:53.394+07:00[Asia/Bangkok]","0.0","0.7"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T00:04:54.099+07:00[Asia/Bangkok]","0.0","0.71"
