"Story","Title","Result","Date","Stability","Duration (s)"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:09:56.956+07:00[Asia/Bangkok]","0.0","2.0"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with unregistered parameter id","FAILURE","2023-01-20T18:09:58.963+07:00[Asia/Bangkok]","0.0","2.09"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with invalid parameter id","FAILURE","2023-01-20T18:10:01.054+07:00[Asia/Bangkok]","0.0","2.18"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","SUCCESS","2023-01-20T18:10:03.245+07:00[Asia/Bangkok]","0.0","1.46"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter id","FAILURE","2023-01-20T18:10:04.709+07:00[Asia/Bangkok]","0.0","1.92"
"Testing GET comments JsonPlaceHolder","GET comments with unregistered parameter id","FAILURE","2023-01-20T18:10:06.637+07:00[Asia/Bangkok]","0.0","2.15"
"Testing GET comments JsonPlaceHolder","GET comments without parameter","ERROR","2023-01-20T18:10:08.794+07:00[Asia/Bangkok]","0.0","0.91"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter","SUCCESS","2023-01-20T18:10:09.708+07:00[Asia/Bangkok]","0.0","2.07"
"Testing POST comments JsonPlaceHolder","POST comments with valid json","SUCCESS","2023-01-20T18:10:11.78+07:00[Asia/Bangkok]","0.0","1.1"
"Testing POST comments JsonPlaceHolder","POST comments with invalid json","FAILURE","2023-01-20T18:10:12.882+07:00[Asia/Bangkok]","0.0","1.05"
"Testing POST comments JsonPlaceHolder","POST comments with unrequired object at json","FAILURE","2023-01-20T18:10:13.94+07:00[Asia/Bangkok]","0.0","1.06"
"Testing POST comments JsonPlaceHolder","POST comments with valid parameter id","FAILURE","2023-01-20T18:10:15.008+07:00[Asia/Bangkok]","0.0","1.16"
"Testing POST comments JsonPlaceHolder","POST comments with blank json","FAILURE","2023-01-20T18:10:16.171+07:00[Asia/Bangkok]","0.0","0.88"
"Testing PUT comments JsonPlaceHolder","PUT comments with valid json","SUCCESS","2023-01-20T18:10:17.054+07:00[Asia/Bangkok]","0.0","1.18"
"Testing PUT comments JsonPlaceHolder","PUT comments with invalid json","FAILURE","2023-01-20T18:10:18.245+07:00[Asia/Bangkok]","0.0","1.09"
"Testing PUT comments JsonPlaceHolder","Put comments with unrequired object at json","FAILURE","2023-01-20T18:10:19.344+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT comments JsonPlaceHolder","Put comments with invalid parameter id","FAILURE","2023-01-20T18:10:20.417+07:00[Asia/Bangkok]","0.0","1.06"
"Testing PUT comments JsonPlaceHolder","Put comments with blank json","FAILURE","2023-01-20T18:10:21.484+07:00[Asia/Bangkok]","0.0","1.02"
