"Story","Title","Result","Date","Stability","Duration (s)"
"Delete album","Delete users with valid id","SUCCESS","2023-01-20T01:43:56.896+07:00[Asia/Bangkok]","0.0","17.02"
"Delete album","Delete users with invalid id","FAILURE","2023-01-20T01:44:13.975+07:00[Asia/Bangkok]","0.0","1.57"
"Testing","Get album with valid parameter","SUCCESS","2023-01-20T01:44:15.571+07:00[Asia/Bangkok]","0.0","13.94"
"Testing","Get album with invalid parameter","FAILURE","2023-01-20T01:44:29.529+07:00[Asia/Bangkok]","0.0","0.44"
"Testing Create Album","Post create album with valid json","SUCCESS","2023-01-20T01:44:29.982+07:00[Asia/Bangkok]","0.0","1.04"
"Testing Create Album","Post create album with invalid json","FAILURE","2023-01-20T01:44:31.037+07:00[Asia/Bangkok]","0.0","0.74"
"Testing Create Album","Post create album with same body json","FAILURE","2023-01-20T01:44:31.792+07:00[Asia/Bangkok]","0.0","1.03"
"Testing Create Album","Post create album with blank body json","FAILURE","2023-01-20T01:44:32.835+07:00[Asia/Bangkok]","0.0","1.67"
"Testing Create Album","Post create album with extra body json","FAILURE","2023-01-20T01:44:34.514+07:00[Asia/Bangkok]","0.0","1.69"
"Put update albums","Put update album with valid parameter","SUCCESS","2023-01-20T01:44:36.217+07:00[Asia/Bangkok]","0.0","10.3"
"Put update albums","Put update album with invalid parameter request","FAILURE","2023-01-20T01:44:46.53+07:00[Asia/Bangkok]","0.0","0.94"
"Put update albums","Put update album with blank body","FAILURE","2023-01-20T01:44:47.479+07:00[Asia/Bangkok]","0.0","0.78"
"Put update albums","Put update album with extra body json","ERROR","2023-01-20T01:44:48.268+07:00[Asia/Bangkok]","0.0","0.16"
"Put update albums","Put update album with unregister body json","SUCCESS","2023-01-20T01:44:48.444+07:00[Asia/Bangkok]","0.0","3.68"
